credit_score,monthly_income,existing_debt_payment,loan_amount,employment_years,prior_defaults,dti_ratio,default_status
538,6795,1478,62124,10,0,0.2175128771155261,0
476,12634,3474,70149,37,0,0.27497229697641284,0
581,6798,1619,31616,13,0,0.23815828184760224,0
362,8036,1781,84655,25,0,0.22162767546042808,1
516,4355,3939,95695,20,0,0.9044776119402985,0
760,7887,2097,59567,38,1,0.26588056295169266,0
404,14470,326,42099,29,0,0.022529371112646857,0
398,14916,1359,80831,7,0,0.09111021721641191,0
810,9961,972,66799,19,1,0.09758056420038148,0
684,12749,991,95221,31,0,0.07773158679112087,0
704,7827,1578,30479,21,0,0.20160981218857799,0
817,10737,1136,51172,6,0,0.10580236565148551,0
775,6719,2357,60863,8,0,0.35079624944188126,0
736,14027,2888,47043,0,0,0.20588864333071932,0
322,2593,496,87569,28,0,0.1912842267643656,1
757,6839,1223,20408,7,0,0.1788273139347858,0
382,9394,2178,62980,3,0,0.23185011709601874,0
444,13996,3045,87956,34,0,0.21756216061731923,0
384,11651,3699,21351,2,0,0.31748347781306324,0
377,5493,748,9131,39,0,0.13617331148734754,0
756,12793,428,49825,6,0,0.03345579613851325,0
300,8164,3337,16349,26,0,0.4087457128858403,1
350,12636,1582,65931,0,0,0.12519784742006965,1
745,4672,3993,49254,26,0,0.854666095890411,0
748,6200,1051,43225,15,0,0.16951612903225807,0
787,2016,2105,17453,37,0,1.0441468253968254,0
333,5191,2116,23814,6,0,0.40762858794066653,1
647,2392,3271,23263,22,0,1.3674749163879598,0
394,10616,2768,82694,10,0,0.2607385079125848,0
371,8272,1978,20735,32,0,0.23911992263056092,1
453,2571,1296,20830,35,1,0.5040840140023337,1
549,5631,1872,52893,36,0,0.3324453915823122,0
737,8172,261,49673,16,1,0.031938325991189426,0
417,11312,1851,94462,34,0,0.16363154172560113,0
605,9177,875,50066,4,0,0.09534706331045004,0
567,10433,3434,8373,31,0,0.3291478960989169,0
353,5897,1927,15335,2,1,0.3267763269459047,1
535,14287,2421,28741,34,0,0.16945474907258345,0
688,10123,3174,15692,13,0,0.31354341598340413,0
700,4279,1151,52295,30,1,0.2689880813274129,1
602,10980,2473,50541,30,0,0.22522768670309654,0
506,9451,1039,39057,16,0,0.1099354565654428,0
528,10906,3320,71983,23,0,0.3044195855492389,0
374,13041,639,24583,22,0,0.04899930986887509,0
734,2775,2635,27765,17,0,0.9495495495495495,0
402,14218,921,64287,13,0,0.06477704318469546,0
721,8869,1561,28906,14,0,0.17600631412786108,0
605,4247,1188,90103,14,0,0.2797268660230751,0
397,9088,455,84675,5,1,0.05006602112676056,1
634,2078,3704,51525,26,1,1.7824831568816168,1
734,10080,3423,43230,14,0,0.33958333333333335,0
746,9099,334,24520,35,0,0.036707330475876467,0
607,5926,2374,90238,7,0,0.4006074924063449,0
548,11047,1648,56934,14,0,0.14918077306055944,0
465,9340,3484,30566,2,0,0.3730192719486081,0
780,9083,2196,78193,12,0,0.2417703401959705,0
634,8230,217,35134,33,0,0.026366950182260023,0
841,12340,2201,15345,23,0,0.17836304700162076,0
405,11223,1773,46185,39,0,0.15797914995990378,0
380,6940,2712,97949,31,0,0.39077809798270896,1
432,5271,1167,75744,31,0,0.2214001138303927,0
437,13768,3986,38455,29,0,0.2895119116792563,0
483,14374,2200,33018,12,0,0.1530541255043829,0
700,5456,3757,59219,0,0,0.688599706744868,0
629,9788,657,50991,33,0,0.06712300776460972,0
807,13698,3696,78616,14,0,0.26982041173894,0
368,10599,3848,92438,13,0,0.3630531182186999,1
845,9650,3273,14486,28,0,0.33917098445595856,0
352,4711,1915,43862,33,0,0.40649543621311823,1
749,13280,3941,63870,17,0,0.2967620481927711,0
504,3668,2105,91694,6,1,0.5738822246455835,1
425,2147,3015,48856,28,0,1.4042850489054495,1
342,8420,497,91055,30,0,0.059026128266033255,1
410,14519,3309,36379,24,0,0.2279082581445003,0
482,14089,774,69729,37,0,0.05493647526439066,0
394,12142,486,33378,13,0,0.0400263548015154,0
673,2365,2258,59353,7,0,0.9547568710359408,0
819,11866,2761,54996,26,0,0.23268161132647902,0
659,6531,2164,19031,1,0,0.3313428265196754,0
580,14686,3951,85072,16,0,0.269031730900177,0
494,7330,3353,70982,36,1,0.4574351978171896,1
494,7510,983,41683,13,1,0.13089214380825565,1
392,12738,3707,22618,24,0,0.2910189982728843,0
360,10754,640,11587,29,0,0.05951273944578762,0
350,13754,270,67790,28,0,0.019630652900974262,1
702,12681,2556,36480,19,0,0.20156139105748758,0
304,10964,839,25527,20,0,0.07652316672747173,1
765,8493,1501,28569,21,0,0.1767337807606264,0
833,12229,3359,16151,34,1,0.27467495298061984,0
704,13615,3005,76094,36,1,0.22071244950422328,1
812,12759,2377,64174,15,0,0.1862998667607179,0
532,7439,218,49739,16,0,0.029305014114800375,0
823,11765,3327,37954,15,0,0.28278793030174243,0
645,13886,2931,40303,1,0,0.2110759037879879,0
345,8511,3858,39700,3,0,0.4532957349312654,1
845,13483,2612,98036,20,0,0.19372543202551362,0
377,9504,2251,72568,38,0,0.23684764309764308,0
372,3246,3775,71788,33,0,1.162969808995687,1
548,13911,2845,76045,29,0,0.20451441305441737,0
346,5839,2095,42842,5,0,0.3587943140948793,1
420,10551,3966,18900,16,0,0.3758885413704862,0
513,4376,3673,85059,38,0,0.8393510054844607,0
538,5009,3864,6881,24,0,0.7714114593731284,0
355,13185,1805,38037,4,0,0.13689799014031095,1
649,11154,1822,6630,4,0,0.16334947104177874,0
406,13824,2322,25789,19,0,0.16796875,0
347,3827,3905,93059,15,0,1.0203814998693495,1
636,8979,2892,88494,36,0,0.3220848646842633,0
325,11805,1797,51151,39,0,0.15222363405336722,1
556,11832,1544,53920,8,0,0.13049357674104126,0
307,12408,3305,72231,4,0,0.2663604126370084,1
552,14504,3562,85357,1,0,0.24558742415885274,0
602,10569,1859,8262,8,0,0.17589175891758918,0
355,14406,1624,71981,35,0,0.11273080660835763,1
825,6285,764,86972,21,0,0.12155926809864757,0
773,8910,132,80485,21,0,0.014814814814814815,0
327,10561,2202,59722,21,0,0.20850298267209544,1
377,4196,2666,94499,33,0,0.6353670162059104,1
515,5747,2903,55818,28,0,0.5051331129284844,0
685,10843,3996,34932,37,1,0.36853269390390114,1
664,7978,3809,11901,32,0,0.47743795437452996,0
825,7607,2159,13597,17,1,0.2838175364795583,0
611,2769,1651,68909,6,1,0.596244131455399,1
306,12613,819,77391,0,0,0.06493300562911282,1
302,2780,2702,89214,32,0,0.9719424460431655,1
662,11908,2520,13263,0,0,0.2116224386966745,0
807,8303,583,68293,23,1,0.07021558472841141,0
573,5983,1072,30805,3,0,0.17917432726057161,0
805,11503,3818,96679,3,0,0.33191341389202816,0
314,13551,3399,16874,17,0,0.2508301970334293,1
491,10714,2770,98065,26,0,0.2585402277394064,0
784,2521,406,91402,31,0,0.1610472034906783,0
327,12512,556,19079,32,0,0.04443734015345269,1
338,11127,2307,54850,27,0,0.20733351307630088,1
572,9569,430,77779,35,0,0.0449367750026126,0
530,12422,2923,14018,5,0,0.2353083239413943,0
385,14232,324,54500,15,0,0.022765598650927487,0
773,7784,3130,17100,33,0,0.40210688591983557,0
425,6583,2876,62021,22,0,0.43688288014583015,0
836,7946,3675,24800,23,0,0.46249685376289956,0
444,6941,1579,68400,12,0,0.2274888344618931,0
824,8267,3216,97446,17,0,0.3890165719124229,0
511,9128,3385,34437,12,0,0.3708369851007888,0
324,13889,1182,81537,36,0,0.08510331917344661,1
693,13029,743,51675,38,0,0.05702663289584772,0
366,14275,715,24942,16,0,0.050087565674255694,0
532,4461,294,25862,14,0,0.06590450571620712,0
408,13435,588,16669,17,0,0.04376628209899516,0
445,13551,2304,58772,22,0,0.17002435244631392,0
410,2685,2757,20916,29,0,1.0268156424581005,1
527,4160,1349,15878,33,0,0.32427884615384617,0
410,9031,2559,7985,3,1,0.28335732477023584,1
769,14180,3376,78648,2,1,0.2380818053596615,0
333,14258,1202,46235,6,0,0.08430354888483658,1
668,11759,1247,23931,17,0,0.1060464325197721,0
724,7341,2618,97876,6,0,0.35662716251191934,0
817,2038,1341,5336,39,0,0.6579980372914622,0
581,12736,615,47933,5,0,0.048288316582914576,0
619,6875,1725,89899,21,0,0.2509090909090909,0
742,3256,1227,50536,0,0,0.37684275184275184,0
614,13182,492,74504,3,0,0.03732362312243969,0
676,9697,730,56148,28,0,0.07528101474682891,0
588,4196,3816,21279,20,0,0.909437559580553,0
736,13660,1947,73665,25,0,0.1425329428989751,0
576,9165,2755,76386,13,0,0.3006001091107474,0
802,12900,1079,91124,8,0,0.08364341085271318,0
815,2301,533,82485,11,0,0.23163841807909605,0
649,9527,3502,79055,5,0,0.36758685840243516,0
745,8381,3314,96911,19,0,0.3954182078510918,0
649,2646,3971,82273,23,0,1.500755857898715,0
436,14950,2687,71670,26,0,0.1797324414715719,0
542,11951,377,81474,37,0,0.031545477365910804,0
842,14543,332,59028,7,1,0.022828852368837242,0
339,10789,1652,95022,0,0,0.15311891741588654,1
528,10853,1694,96632,23,0,0.1560858748733069,0
847,6330,1213,76128,6,0,0.19162717219589256,0
522,11560,3663,23108,18,0,0.31686851211072664,0
305,12773,3370,57495,21,0,0.2638377828231426,1
621,9003,2509,87806,34,0,0.27868488281683884,0
767,14060,3612,98185,29,0,0.25689900426742535,0
374,5537,125,81533,28,0,0.02257540184215279,0
303,14500,3196,61830,21,0,0.22041379310344827,1
417,6558,1517,79640,10,0,0.23132052455016774,0
803,8579,2654,57509,19,0,0.30936006527567317,0
740,10474,3472,71406,28,0,0.33148749283941187,0
493,13870,3510,99220,33,0,0.25306416726748376,0
691,11678,2414,44519,0,0,0.20671347833533138,0
325,6082,560,54649,30,0,0.09207497533706017,1
734,6183,3864,39524,29,0,0.6249393498301795,0
472,10652,2603,38885,17,0,0.24436725497559145,0
599,12517,3531,49369,16,0,0.28209634896540703,0
625,5754,1191,35676,37,0,0.20698644421272158,0
709,12660,1106,69093,13,0,0.08736176935229067,0
417,3724,3010,52764,22,0,0.8082706766917294,1
524,3376,3583,55799,24,0,1.0613151658767772,0
831,12935,2094,84414,14,0,0.16188635485117897,0
412,10706,590,98095,21,0,0.055109284513357,0
439,10894,1172,77307,2,0,0.10758215531485221,0
300,3653,3858,87062,18,0,1.056118258965234,1
389,4066,2711,36923,33,1,0.6667486473192327,1
619,2022,3273,83388,34,0,1.6186943620178043,0
849,4460,315,52574,0,0,0.07062780269058296,0
438,7926,3609,48391,20,0,0.45533686601059803,0
810,8251,1823,58664,28,0,0.2209429160101806,0
558,11496,1692,72384,5,0,0.14718162839248433,0
309,9295,2706,36027,36,0,0.2911242603550296,1
560,5300,258,40464,0,1,0.04867924528301887,1
471,8279,2636,39485,0,0,0.3183959415388332,0
312,10553,785,24456,26,0,0.07438643039893869,1
467,9353,3413,79795,20,0,0.36490965465626,0
620,5727,2941,40554,15,0,0.5135323904312904,0
618,8272,1876,51922,39,0,0.22678916827853,0
628,7995,2152,18409,25,0,0.2691682301438399,0
849,11476,3767,74327,15,0,0.3282502614151272,0
718,2514,1943,96400,27,0,0.7728719172633254,0
394,2448,2508,41639,0,1,1.0245098039215685,1
617,8019,2606,68627,35,0,0.32497817683002866,0
535,7343,2395,88424,9,0,0.32616096963094104,0
633,12047,1689,24692,16,1,0.14020087988710883,1
675,10033,1796,94037,22,0,0.1790092694109439,0
758,13754,3093,83840,6,0,0.22488003489893849,0
436,4520,2569,59200,6,0,0.5683628318584071,0
846,5081,2046,98063,14,0,0.40267663845699664,0
812,3428,3909,62415,33,0,1.1403150525087515,0
595,5967,2162,23074,3,0,0.3623261270320094,0
619,8445,2883,20549,13,0,0.34138543516873887,0
648,11114,3744,34963,13,0,0.33687241317257516,0
528,13329,1245,96456,15,0,0.0934053567409408,0
569,4159,2424,57265,6,0,0.5828324116374128,0
590,7132,1681,21061,31,0,0.23569826135726304,0
464,4547,2600,63226,18,0,0.5718055861007257,0
304,4979,3561,33810,1,0,0.7152038561960233,1
678,12473,3465,65006,9,0,0.2778000481039044,0
377,4649,3745,27800,16,0,0.8055495805549581,1
709,10505,2745,80476,36,0,0.2613041408852927,0
431,12805,2593,74460,11,0,0.20249902381882076,0
341,5083,2357,62767,5,0,0.4637025378713358,1
388,12448,3761,33054,21,0,0.30213688946015427,0
701,3037,2861,80319,31,0,0.9420480737569971,0
595,5489,2449,50397,19,0,0.4461650573875023,0
594,9604,2032,18233,0,0,0.21157850895460226,0
825,9544,3394,95020,5,0,0.3556160938809723,0
721,4634,1857,30068,18,0,0.40073370738023306,0
322,5983,2150,70727,17,0,0.3593514959050643,1
442,3778,1089,95610,5,0,0.28824775013234516,0
444,9902,1641,75453,32,0,0.1657240961421935,0
524,7110,1216,30832,22,0,0.1710267229254571,0
802,7189,2667,91242,22,0,0.37098344693281404,0
403,14087,3599,18682,25,0,0.2554837793710513,0
338,9378,592,97298,12,0,0.06312646619748347,1
497,3124,3406,28383,6,1,1.090268886043534,1
690,2697,719,63160,14,0,0.26659251019651464,0
478,4179,3332,98332,26,0,0.7973199329983249,0
747,11596,3892,28666,25,0,0.3356329768885823,0
799,7251,3923,63817,32,1,0.5410288236105365,0
314,11235,2478,96198,14,0,0.2205607476635514,1
588,3929,2480,39642,35,1,0.6312038686688725,1
777,3013,2197,46830,26,0,0.7291735811483571,0
530,2226,1646,15234,4,0,0.7394429469901168,0
719,9321,962,62616,1,0,0.10320781032078104,0
456,3828,1791,14221,32,0,0.46786833855799376,0
849,9909,3663,16410,15,0,0.36966394187102636,0
740,7588,1705,85055,22,0,0.2246968898260411,0
396,4023,3852,66413,37,1,0.9574944071588367,1
710,6966,2419,6051,15,0,0.3472581108240023,0
588,12644,679,80301,13,0,0.05370136032900981,0
553,12277,1990,81918,28,0,0.16209171621731694,0
495,7891,1375,83116,25,0,0.17424914459510835,0
821,14475,2707,61563,34,0,0.18701208981001727,0
816,3080,2843,49757,14,0,0.923051948051948,0
417,7036,1955,82475,2,0,0.27785673678226264,0
458,12512,3870,56257,22,1,0.3093030690537084,1
527,13382,3261,5307,28,0,0.2436855477507099,0
515,12822,2593,61889,33,0,0.20223054125721415,0
314,4563,3164,73895,32,0,0.6934034626342319,1
456,5292,1455,40944,22,0,0.27494331065759636,0
560,14813,1262,43134,6,0,0.08519543644096401,0
456,5586,456,32323,2,0,0.08163265306122448,0
346,6431,1724,76762,31,0,0.26807650443165915,1
623,8841,2421,92225,30,0,0.27383780115371564,0
429,8643,3190,30954,17,0,0.36908480851556175,0
710,13139,2106,60021,6,0,0.16028617094147196,0
394,5959,2458,94959,0,0,0.412485316328243,0
591,13005,969,84866,13,0,0.07450980392156863,0
582,12775,985,75427,31,1,0.07710371819960861,1
368,2161,2101,9992,5,0,0.97223507635354,1
310,2593,2301,6961,38,0,0.8873891245661396,1
553,13451,1513,17497,9,0,0.11248234332019924,0
849,14347,1383,37551,6,0,0.09639645919007458,0
433,13154,719,81384,25,0,0.05466017941310628,0
322,14080,982,60755,33,0,0.06974431818181819,1
645,5390,896,18255,29,0,0.16623376623376623,0
601,7997,3742,9567,35,1,0.4679254720520195,1
662,8354,2272,53847,20,0,0.271965525496768,0
695,14693,3525,53003,16,0,0.23991016130129994,0
517,2663,1396,25389,32,0,0.5242208036049568,0
440,11324,718,49523,9,0,0.06340515718827269,0
509,2541,1934,66576,11,0,0.7611176702085793,0
759,7433,344,48919,15,0,0.04628010224673752,0
655,7093,2995,87103,31,0,0.4222472860566756,0
623,13166,2597,8358,14,0,0.19725049369588332,0
432,2867,1029,93535,26,0,0.3589117544471573,0
426,12258,1370,81524,27,0,0.11176374612497961,0
405,10623,619,10698,16,0,0.05826979196083969,0
677,7469,3312,71809,1,0,0.44343285580398983,0
350,14470,2509,98079,35,0,0.17339322736696614,1
328,8256,107,60805,6,0,0.012960271317829458,1
761,11398,2625,36349,12,0,0.23030356202842603,0
595,12720,3523,81777,14,0,0.27696540880503145,0
596,3169,2119,55248,24,0,0.6686651940675292,0
706,2830,594,80033,22,0,0.20989399293286218,0
704,3651,1729,49041,21,0,0.47356888523692137,0
645,3136,2980,36954,25,0,0.9502551020408163,0
719,4810,3598,13002,32,0,0.748024948024948,0
481,10667,1162,74783,10,1,0.10893409580950596,1
300,13002,2740,92234,9,0,0.2107368097215813,1
670,11518,286,24738,24,1,0.024830699774266364,1
730,3019,3767,15703,36,0,1.247764160317986,0
608,7237,3771,54422,37,0,0.5210722675141634,0
436,12028,2901,88106,23,0,0.24118722979714,0
501,14448,1977,66899,39,0,0.13683554817275748,0
735,12640,2240,17392,32,0,0.17721518987341772,0
612,14485,185,49724,16,1,0.01277183293061788,1
416,3283,3215,37299,23,0,0.9792872372829728,1
543,2659,236,20641,36,0,0.08875517111696127,0
836,4010,2568,84534,1,0,0.6403990024937656,0
374,10590,2221,11305,31,0,0.20972615675165251,0
685,3733,3719,23782,23,1,0.996249665148674,1
509,4125,1736,83257,8,0,0.42084848484848486,0
774,4171,3683,82963,3,0,0.8830016782546152,0
717,10266,3327,25566,16,0,0.32407948568088835,0
646,14889,3426,72766,16,0,0.230102760427161,0
828,5471,2318,11511,29,1,0.42368853957229025,0
478,11028,1851,31177,39,0,0.16784548422198042,0
481,7624,2317,9765,10,0,0.3039087093389297,0
324,10691,1887,25354,20,0,0.17650360115985408,1
479,10329,971,28929,20,0,0.09400716429470424,0
800,4097,2469,33820,17,0,0.6026360751769587,0
460,7068,3738,34523,28,0,0.5288624787775892,0
476,13888,2603,76088,23,0,0.18742799539170507,0
584,12077,1043,71163,9,0,0.08636250724517679,0
362,8397,1726,82525,16,0,0.20554960104799333,1
455,4757,2937,18780,17,0,0.6174059281059491,0
768,5920,2760,11589,19,0,0.46621621621621623,0
348,10186,3326,39812,36,0,0.32652660514431575,1
383,3900,3036,98664,17,0,0.7784615384615384,1
660,4610,448,50939,16,0,0.09718004338394794,0
447,8900,3622,56493,8,0,0.4069662921348315,0
641,14178,1776,98326,13,0,0.1252644942869234,0
775,3449,1296,45953,28,1,0.37576109017106407,0
362,10738,109,70785,30,0,0.010150866083069473,0
659,7017,2887,24309,3,1,0.41142938577739774,1
626,14868,3436,59195,17,0,0.23110034974441754,0
440,9999,1561,30901,19,0,0.1561156115611561,0
514,8052,3931,28576,8,0,0.48820168902136113,0
734,12195,3418,36508,12,0,0.28027880278802786,0
617,4096,766,79711,14,0,0.18701171875,0
331,10895,2693,30464,26,0,0.24717760440569067,1
584,8404,1622,65281,14,0,0.19300333174678724,0
604,12595,2276,21260,27,0,0.18070662961492656,0
728,11817,3843,40440,36,0,0.32520944402132523,0
776,5331,700,61683,18,0,0.13130744700806604,0
585,14925,2752,46430,25,0,0.18438860971524287,0
443,9462,426,6987,25,0,0.04502219403931516,0
723,7105,3924,30105,24,0,0.5522871217452499,0
318,4978,1079,83484,25,0,0.21675371635194857,1
317,14928,2551,18026,25,0,0.17088692390139334,1
670,4839,728,73309,27,0,0.15044430667493283,0
474,5384,1729,50927,17,0,0.3211367013372957,0
493,12851,3846,80414,31,0,0.2992763209088787,0
801,12053,3782,62535,2,0,0.31378080146021736,0
412,13048,3796,47946,1,0,0.29092581238503984,0
413,2685,3530,61561,32,0,1.314711359404097,1
521,9531,3774,15377,18,0,0.39597104186339316,0
563,6283,2865,58592,16,0,0.4559923603374184,0
354,9736,3188,12347,32,0,0.32744453574363186,1
757,9710,373,38776,11,0,0.03841400617919671,0
461,3619,784,8783,2,0,0.21663442940038685,0
679,14835,215,60798,25,0,0.014492753623188406,0
386,8868,960,9298,34,0,0.10825439783491204,0
354,3431,2103,75204,7,0,0.6129408335762169,1
775,11067,792,91207,35,0,0.07156410951477366,0
477,6713,3262,60161,6,0,0.4859228362877998,0
690,12653,1205,65652,35,0,0.09523433177902474,0
648,11557,2471,39484,15,0,0.21380981223500908,0
307,11435,3108,25922,23,0,0.27179711412330565,1
612,6998,2261,39028,0,0,0.32309231208916833,0
742,2162,1892,25316,24,0,0.8751156336725254,0
627,3974,3229,81996,9,1,0.8125314544539507,1
353,5291,253,21968,15,0,0.04781704781704782,1
538,10461,2000,35266,15,0,0.1911863110601281,0
528,2631,1527,29000,7,0,0.580387685290764,0
350,2905,3799,19011,28,0,1.3077452667814113,1
563,13663,1389,7866,38,0,0.10166142135694943,0
717,13445,414,10898,27,0,0.030792116028263296,0
395,4014,3886,23395,5,0,0.9681116093672147,1
387,11833,1164,44019,15,1,0.09836896813994761,1
377,9896,204,9006,19,0,0.020614389652384803,0
587,2204,2024,39393,15,0,0.9183303085299456,0
419,2581,2013,15956,6,0,0.7799302595893065,1
790,7675,1316,55042,13,0,0.1714657980456026,0
751,11032,1524,11078,25,0,0.13814358230601886,0
799,7347,3449,34631,25,0,0.46944331019463725,0
464,11911,2501,67901,13,0,0.20997397363781378,0
481,4643,3163,74497,6,0,0.6812405772130088,0
768,10017,1872,99813,32,0,0.18688230008984727,0
306,4297,2060,46574,25,0,0.4794042355131487,1
629,2874,2880,36417,19,1,1.0020876826722338,1
450,7560,1703,93020,2,0,0.22526455026455028,0
384,2689,808,88639,3,0,0.3004834510970621,0
446,6000,3427,70006,25,0,0.5711666666666667,0
680,13333,750,99881,10,0,0.05625140628515713,0
847,11614,2971,44454,1,0,0.25581195109350785,0
584,2671,1046,6587,13,0,0.3916136278547361,0
381,9927,760,59710,29,1,0.07655887982270575,1
813,3171,2246,91567,11,1,0.7082939135919268,0
822,7591,2735,96748,25,0,0.3602950862863918,0
685,13918,2429,80886,32,0,0.17452220146572783,0
770,11135,2550,23816,12,0,0.22900763358778625,0
418,8342,1232,90824,13,1,0.14768640613761688,1
695,3449,799,34432,23,0,0.2316613511162656,0
831,13929,2346,53617,33,0,0.1684255869050183,0
560,4539,3474,77373,25,0,0.7653668208856577,0
555,5959,2138,39217,20,0,0.35878503104547743,0
525,8285,2474,25884,27,0,0.2986119493059747,0
352,7432,2301,10454,35,0,0.3096071044133477,1
799,6260,651,79960,39,0,0.10399361022364217,0
805,4361,3816,48618,1,1,0.8750286631506535,1
663,8164,504,88948,8,0,0.061734443900048994,0
579,13844,561,67671,22,0,0.04052297023981508,0
457,5670,2279,52111,14,0,0.40194003527336863,0
358,3753,2938,44613,12,0,0.7828403943511857,1
427,10100,973,90678,22,0,0.09633663366336634,0
414,12544,183,64993,16,0,0.014588647959183673,0
508,3938,1522,13848,1,0,0.38649060436769933,0
825,10562,2901,83672,19,1,0.27466388941488357,0
820,7976,2775,71125,19,0,0.3479187562688064,0
536,14671,3280,91444,2,0,0.22357030877240816,0
580,12123,320,66602,11,0,0.026396106574280293,0
658,8588,2700,77045,39,0,0.3143921751280857,0
500,10616,1491,47222,1,0,0.14044837980406932,0
577,8304,3318,54223,35,0,0.3995664739884393,0
534,9345,211,70333,13,0,0.02257891920813269,0
793,14916,714,57732,15,0,0.047868061142397424,0
303,9875,1681,54420,18,1,0.17022784810126582,1
741,11086,3071,80504,33,0,0.2770160562872091,0
328,8633,3665,7462,5,0,0.42453376578246266,1
408,2597,3676,14460,12,0,1.4154793993068926,1
374,5062,574,14275,35,0,0.11339391544843935,0
445,4336,2983,99213,21,0,0.6879612546125461,0
427,14880,2013,18269,17,0,0.13528225806451613,0
341,11879,370,70942,11,0,0.031147402980048824,1
655,2572,2568,77920,29,0,0.9984447900466563,0
340,9521,2020,27553,39,0,0.21216258796344922,1
333,8171,2854,29366,6,0,0.3492840533594419,1
316,9097,1490,49036,31,0,0.16379026052544796,1
452,4090,3451,22369,18,1,0.8437652811735942,1
677,8566,3454,16795,5,0,0.40322204062572964,0
641,13861,139,75021,19,0,0.010028136498088161,0
326,14464,2082,73154,26,0,0.14394358407079647,1
586,6624,2336,35143,36,0,0.3526570048309179,0
467,3633,3335,34425,6,1,0.9179741260666117,1
567,3517,1093,93209,4,0,0.31077622974125674,0
754,14485,2112,80139,10,0,0.14580600621332412,0
700,12849,3707,10368,14,0,0.28850494201883414,0
775,5648,2683,9621,2,0,0.47503541076487255,0
429,13780,3175,63829,4,0,0.23040638606676342,0
662,3537,389,65294,22,0,0.10998020921685044,0
591,5137,2580,19719,36,0,0.5022386606969048,0
670,8985,2618,34227,8,0,0.2913745130773511,0
328,2097,3352,12566,14,0,1.5984740104911779,1
448,13407,3419,17306,2,0,0.2550160363988961,0
595,14722,2775,58822,28,0,0.18849341122130145,0
310,14924,378,29042,5,0,0.025328330206378986,1
811,5750,3024,20086,16,0,0.5259130434782608,0
412,13349,680,22387,25,0,0.05094014532923814,0
486,14875,962,32042,20,0,0.06467226890756303,0
526,10535,353,94424,7,0,0.03350735643094447,0
609,10174,280,56618,20,0,0.027521132298014547,0
397,10103,780,97050,10,0,0.07720479065624072,0
354,7413,924,23323,37,0,0.12464589235127478,1
705,6666,3680,23019,7,0,0.5520552055205521,0
368,2610,3932,80426,23,0,1.506513409961686,1
611,3727,799,45863,34,0,0.21438154011269117,0
588,12482,2713,15283,13,0,0.21735298830315655,0
847,3854,1449,23279,13,0,0.3759730150492994,0
447,12800,1480,51999,9,0,0.115625,0
766,7055,3996,67780,11,0,0.5664068036853296,0
543,12271,1773,27908,37,0,0.14448700187433786,0
790,4324,2827,66584,33,0,0.6537927844588344,0
806,14819,2538,55225,9,0,0.17126661718064648,0
664,11369,1738,42952,16,0,0.152871844489401,0
781,11283,2057,42663,16,0,0.1823096694141629,0
500,7774,3256,66381,2,0,0.4188320041162851,0
453,8519,3488,52929,30,0,0.40943772743279727,0
749,12983,311,14343,0,1,0.02395440191019025,0
800,3749,1638,81173,11,0,0.43691651106961854,0
372,12867,483,44791,38,0,0.03753788761949172,0
595,2781,1814,34134,3,0,0.6522833513124775,0
316,9548,441,52101,12,0,0.04618768328445748,1
516,13240,1938,74443,33,0,0.14637462235649548,0
360,8823,2087,62530,20,0,0.23654085911821376,1
341,4105,943,51799,21,0,0.22971985383678442,1
324,5867,3209,9827,3,1,0.5469575592295892,1
338,9193,1634,67653,17,0,0.17774393560317633,1
430,6976,519,18699,4,0,0.07439793577981652,0
797,14734,2898,96419,18,0,0.19668793267272974,0
528,4113,3340,10313,1,0,0.812059324094335,0
407,7879,2088,18598,11,0,0.2650082497778906,0
471,5970,2032,33807,16,0,0.3403685092127303,0
734,12183,3514,75423,9,0,0.2884347040958713,0
777,11259,1949,74390,33,0,0.1731059596767031,0
401,9264,405,50226,5,0,0.043717616580310883,0
823,3577,3713,64550,7,0,1.0380206877271456,0
574,11203,2849,85072,10,0,0.2543068820851558,0
343,4274,968,8558,11,0,0.22648572765559194,1
316,6869,2684,80308,8,0,0.3907410103362935,1
629,12006,1235,55113,1,1,0.10286523404964185,1
796,8744,1534,57999,7,0,0.17543458371454712,0
311,4426,305,60878,10,0,0.06891098056936286,1
617,7546,3356,41343,35,1,0.4447389345348529,1
515,8852,3553,63219,9,0,0.40137821961138725,0
638,14594,595,40186,20,0,0.040770179525832534,0
380,4551,3550,41966,19,0,0.7800483410239508,1
784,8411,3218,38769,7,0,0.3825942218523362,0
673,13849,2009,58218,35,0,0.1450646256047368,0
499,2007,3911,24229,28,1,1.9486796213253612,1
836,10087,3722,80209,11,0,0.3689897888371171,0
765,4555,3699,32877,13,0,0.8120746432491768,0
388,2475,2651,63001,20,0,1.0711111111111111,1
567,7416,1145,43084,21,0,0.15439590075512405,0
788,12403,312,86780,20,0,0.025155204386035638,0
837,10676,409,97892,29,0,0.038310228550018734,0
346,9239,2808,21806,38,0,0.3039289966446585,1
587,8710,2091,93635,19,0,0.24006888633754306,0
315,7000,2900,42034,23,0,0.4142857142857143,1
700,6654,371,45317,22,0,0.05575593627892997,0
385,10078,3742,60468,6,0,0.3713038301250248,1
549,8063,1922,24094,8,0,0.23837281408904873,0
690,4285,3085,62796,0,0,0.7199533255542591,0
634,7223,3373,15589,25,0,0.46698047902533574,0
818,8971,2179,62221,37,1,0.24289376881061198,0
